atomCount,hydrogenCount,rotatablebondCount,NHA,molecularpolarizability,donorCount,label
65,29,8,36,53.61,3,0
75,36,8,39,57.59,3,0
33,11,3,22,33.03,3,0
96,48,12,48,74.2,4,0
73,38,10,35,52.78,7,0
92,47,19,45,67.06,5,0
35,16,3,19,31.33,2,0
144,79,22,65,97.2,7,0
56,19,12,37,47.92,4,0
30,14,2,16,20.84,4,0
73,35,9,38,64.58,1,0
105,54,11,51,77.61,6,0
55,27,7,28,42.15,3,0
43,15,6,28,34.82,7,0
74,44,6,30,49.42,3,0
38,14,4,24,29.77,6,0
55,21,9,34,44.14,6,0
116,56,19,60,86.16,6,0
38,18,7,20,28.24,1,0
76,36,8,40,60.79,4,0
38,14,6,24,30.49,5,0
34,16,2,18,24.43,3,0
37,16,3,21,27.33,5,0
115,51,28,64,86.9,12,0
110,52,24,58,79.72,11,0
40,19,1,21,34.84,1,0
25,11,1,14,16.88,5,0
68,35,13,33,46.3,4,0
48,19,8,29,33.61,3,0
97,51,19,46,69.19,6,0
95,49,15,46,64.7,6,0
82,44,15,38,60.83,5,0
84,41,8,43,61.01,2,0
67,32,16,35,46.43,8,0
43,15,8,28,36.35,5,0
33,15,2,18,27.39,1,0
43,23,6,20,27.59,4,0
157,83,35,74,106.3,13,0
76,34,19,42,56.18,7,0
92,47,21,45,64.6,10,0
53,26,4,27,42.17,1,0
62,24,8,38,50.05,3,0
127,64,29,63,89.0,12,0
30,12,2,18,23.51,3,0
32,13,2,19,23.77,5,0
42,19,7,23,34.84,2,0
82,42,13,40,64.49,3,0
75,35,9,40,51.81,10,0
26,11,6,15,18.65,6,0
44,22,4,22,28.25,7,0
86,38,21,48,66.91,9,0
154,73,36,81,113.74,17,0
115,60,22,55,80.95,9,0
97,51,19,46,69.19,6,0
127,62,29,65,92.18,14,0
45,22,4,23,28.97,8,0
67,32,16,35,47.16,7,0
75,36,15,39,55.92,7,0
101,53,19,48,72.4,6,0
88,47,17,41,61.07,6,0
173,82,40,91,125.27,16,0
161,78,30,83,118.18,12,0
144,75,29,69,101.71,11,0
156,79,28,77,112.98,11,0
42,15,6,27,34.68,6,0
56,36,16,20,34.73,1,0
56,36,16,20,34.73,1,0
76,44,24,32,47.39,1,0
27,13,1,14,20.46,3,0
64,28,6,36,53.79,2,0
93,46,17,47,71.28,4,0
87,41,14,46,71.79,4,0
116,58,19,58,86.72,6,0
115,58,19,57,86.09,5,0
116,58,19,58,86.72,6,0
84,38,8,46,73.63,2,0
99,50,13,49,75.01,5,0
79,35,17,44,59.53,7,0
47,21,6,26,41.65,2,0
204,101,43,103,146.97,13,0
101,50,21,51,75.69,7,0
61,36,13,25,40.64,0,0
86,39,19,47,63.67,9,0
118,59,21,59,88.9,6,0
78,35,10,43,56.37,10,0
132,66,23,66,95.47,8,0
55,31,13,24,36.49,6,0
61,33,16,28,41.05,7,0
69,36,15,33,51.17,7,0
51,26,6,25,37.29,6,0
48,16,8,32,39.89,8,0
56,23,6,33,50.37,5,0
67,25,10,42,53.76,7,0
34,14,4,20,25.23,8,0
127,58,22,69,101.87,10,0
109,56,21,53,78.58,9,0
95,48,20,47,69.0,9,0
90,37,19,53,72.42,10,0
90,45,11,45,64.22,4,0
51,30,0,21,33.64,1,0
77,39,14,38,56.59,5,0
42,19,10,23,32.08,3,0
59,26,9,33,49.35,3,0
91,57,26,34,56.82,2,0
41,18,9,23,30.99,7,0
85,39,20,46,62.55,9,0
70,27,11,43,57.84,8,0
99,49,21,50,74.55,6,0
99,49,21,50,74.55,6,0
63,30,9,33,49.02,3,0
135,69,31,66,93.99,12,0
24,11,5,13,17.17,4,0
29,13,3,16,20.21,6,0
